Date,Description,Amount,Category
05 May,"05 May NEFT Inward 5,107.27 1,038,016.67",1038016.67,Bank Transfer
05 May,"05 May Bill Payment - Water 12,097.84 1,025,918.83",1025918.83,Utilities
06 May,"06 May Refund - Flipkart 48,744.63 1,074,663.46",1074663.46,Shopping
06 May,"06 May Rental Income 6,624.48 1,081,287.94",1081287.94,Rent
07 May,"07 May ATM Withdrawal 1,668.89 1,079,619.05",1079619.05,Others
08 May,"08 May Freelance Payment 38,151.40 1,117,770.45",1117770.45,Others
08 May,"08 May Insurance Premium 1,685.30 1,116,085.15",1116085.15,Others
09 May,"09 May Salary Credit 20,480.66 1,136,565.81",1136565.81,Income
09 May,"09 May UPI Transfer Received 43,959.23 1,180,525.04",1180525.04,Bank Transfer
10 May,"10 May UPI Transfer Received 3,076.65 1,183,601.69",1183601.69,Bank Transfer
10 May,"10 May Salary Credit 47,262.45 1,230,864.14",1230864.14,Income
12 May,"12 May Dividend Credit 40,570.28 1,271,434.42",1271434.42,Others
12 May,"12 May Swiggy Order 5,359.22 1,266,075.20",1266075.2,Food
12 May,"12 May Bonus Credit 8,834.80 1,274,910.00",1274910.0,Others
15 May,"15 May NEFT Inward 35,553.99 1,310,463.99",1310463.99,Bank Transfer
15 May,"15 May Swiggy Order 16,461.30 1,294,002.69",1294002.69,Food
15 May,"15 May EMI Debit 205.20 1,293,797.49",1293797.49,Others
16 May,"16 May Medical - Pharmacy 4,834.44 1,288,963.05",1288963.05,Others
17 May,"17 May Insurance Premium 7,829.98 1,281,133.07",1281133.07,Others
18 May,"18 May Dividend Credit 48,699.21 1,329,832.28",1329832.28,Others
18 May,"18 May Swiggy Order 5,824.49 1,324,007.79",1324007.79,Food
20 May,"20 May Salary Credit 30,460.17 1,354,467.96",1354467.96,Income
20 May,"20 May Grocery - BigBasket 8,170.34 1,346,297.62",1346297.62,Others
20 May,"20 May Amazon Purchase 13,856.87 1,332,440.75",1332440.75,Shopping
22 May,"22 May Interest Credit 2,490.21 1,334,930.96",1334930.96,Others
25 May,"25 May UPI Transfer Received 11,297.72 1,346,228.68",1346228.68,Bank Transfer
25 May,"25 May Bill Payment - Water 13,071.87 1,333,156.81",1333156.81,Utilities
25 May,"25 May Bill Payment - Water 373.82 1,332,782.99",1332782.99,Utilities
26 May,"26 May Insurance Claim 7,646.99 1,340,429.98",1340429.98,Others
26 May,"26 May Mobile Recharge 2,552.56 1,337,877.42",1337877.42,Utilities
27 May,"27 May EMI Debit 7,636.62 1,330,240.80",1330240.8,Others
27 May,"27 May Bonus Credit 10,476.67 1,340,717.47",1340717.47,Others
28 May,"28 May Bonus Credit 17,982.32 1,358,699.79",1358699.79,Others
29 May,"29 May Medical - Pharmacy 18,987.95 1,339,711.84",1339711.84,Others
31 May,"31 May Salary Credit 23,447.33 1,363,159.17",1363159.17,Income
31 May,"31 May Flight Ticket - IndiGo 16,690.43 1,346,468.74",1346468.74,Others
01 Jun,"01 Jun Refund - Amazon 5,965.62 1,352,434.36",1352434.36,Shopping
01 Jun,"01 Jun Dividend Credit 14,326.74 1,366,761.10",1366761.1,Others
03 Jun,"03 Jun Flight Ticket - IndiGo 10,638.89 1,356,122.21",1356122.21,Others
03 Jun,"03 Jun FD Maturity 32,390.38 1,388,512.59",1388512.59,Others
03 Jun,"03 Jun FD Maturity 43,260.47 1,431,773.06",1431773.06,Others
04 Jun,"04 Jun FD Maturity 24,277.34 1,456,050.40",1456050.4,Others
04 Jun,"04 Jun Swiggy Order 441.20 1,455,609.20",1455609.2,Food
04 Jun,"04 Jun Netflix Subscription 7,753.17 1,447,856.03",1447856.03,Others
06 Jun,"06 Jun Bill Payment - Water 10,488.36 1,437,367.67",1437367.67,Utilities
06 Jun,"06 Jun Refund - Amazon 33,085.54 1,470,453.21",1470453.21,Shopping
07 Jun,"07 Jun UPI Transfer Received 28,574.22 1,499,027.43",1499027.43,Bank Transfer
07 Jun,"07 Jun Interest Credit 14,499.26 1,513,526.69",1513526.69,Others
07 Jun,"07 Jun Amazon Purchase 13,402.09 1,500,124.60",1500124.6,Shopping
08 Jun,"08 Jun UPI Payment 167.08 1,499,957.52",1499957.52,Bank Transfer
08 Jun,"08 Jun Freelance Payment 34,637.07 1,534,594.59",1534594.59,Others
08 Jun,"08 Jun FD Maturity 17,394.16 1,551,988.75",1551988.75,Others
09 Jun,"09 Jun Insurance Claim 36,764.64 1,588,753.39",1588753.39,Others
10 Jun,"10 Jun Rental Income 40,327.36 1,629,080.75",1629080.75,Rent
10 Jun,"10 Jun Rental Income 20,396.71 1,649,477.46",1649477.46,Rent
10 Jun,"10 Jun Fuel - HPCL 7,202.06 1,642,275.40",1642275.4,Travel
11 Jun,"11 Jun Mutual Fund SIP 17,816.12 1,624,459.28",1624459.28,Others
11 Jun,"11 Jun FD Maturity 17,139.32 1,641,598.60",1641598.6,Others
11 Jun,"11 Jun Hotel Booking 10,696.47 1,630,902.13",1630902.13,Others
12 Jun,"12 Jun Insurance Claim 28,340.55 1,659,242.68",1659242.68,Others
15 Jun,"15 Jun Interest Credit 43,394.30 1,702,636.98",1702636.98,Others
16 Jun,"16 Jun UPI Transfer Received 49,799.82 1,752,436.80",1752436.8,Bank Transfer
16 Jun,"16 Jun Freelance Payment 49,493.84 1,801,930.64",1801930.64,Others
16 Jun,"16 Jun Insurance Claim 7,218.20 1,809,148.84",1809148.84,Others
17 Jun,"17 Jun Refund - Amazon 5,294.38 1,814,443.22",1814443.22,Shopping
19 Jun,"19 Jun Rental Income 14,380.34 1,828,823.56",1828823.56,Rent
19 Jun,"19 Jun Bill Payment - Electricity 17,872.74 1,810,950.82",1810950.82,Utilities
19 Jun,"19 Jun UPI Transfer Received 12,217.12 1,823,167.94",1823167.94,Bank Transfer
21 Jun,"21 Jun Swiggy Order 10,784.13 1,812,383.81",1812383.81,Food
21 Jun,"21 Jun Freelance Payment 34,605.34 1,846,989.15",1846989.15,Others
22 Jun,"22 Jun UPI Payment 13,947.79 1,833,041.36",1833041.36,Bank Transfer
23 Jun,"23 Jun Medical - Pharmacy 4,405.54 1,828,635.82",1828635.82,Others
23 Jun,"23 Jun Swiggy Order 2,091.86 1,826,543.96",1826543.96,Food
23 Jun,"23 Jun Medical - Pharmacy 5,625.63 1,820,918.33",1820918.33,Others
24 Jun,"24 Jun Amazon Purchase 15,091.22 1,805,827.11",1805827.11,Shopping
24 Jun,"24 Jun Bonus Credit 5,326.80 1,811,153.91",1811153.91,Others
26 Jun,"26 Jun Interest Credit 41,204.54 1,852,358.45",1852358.45,Others
26 Jun,"26 Jun Grocery - BigBasket 14,675.56 1,837,682.89",1837682.89,Others
27 Jun,"27 Jun Salary Credit 15,102.50 1,852,785.39",1852785.39,Income
28 Jun,"28 Jun UPI Transfer Received 7,158.49 1,859,943.88",1859943.88,Bank Transfer
28 Jun,"28 Jun Mobile Recharge 14,508.83 1,845,435.05",1845435.05,Utilities
28 Jun,"28 Jun Insurance Premium 17,615.31 1,827,819.74",1827819.74,Others
29 Jun,"29 Jun NEFT Inward 3,631.77 1,831,451.51",1831451.51,Bank Transfer
29 Jun,"29 Jun Mobile Recharge 251.69 1,831,199.82",1831199.82,Utilities
29 Jun,"29 Jun Dividend Credit 9,167.24 1,840,367.06",1840367.06,Others
02 Jul,"02 Jul UPI Transfer Received 8,110.12 1,848,477.18",1848477.18,Bank Transfer
03 Jul,"03 Jul Refund - Amazon 40,723.68 1,889,200.86",1889200.86,Shopping
03 Jul,"03 Jul Mutual Fund SIP 14,303.07 1,874,897.79",1874897.79,Others
03 Jul,"03 Jul Grocery - BigBasket 3,232.20 1,871,665.59",1871665.59,Others
04 Jul,"04 Jul FD Maturity 30,741.96 1,902,407.55",1902407.55,Others
04 Jul,"04 Jul Interest Credit 13,381.32 1,915,788.87",1915788.87,Others
04 Jul,"04 Jul UPI Payment 15,986.21 1,899,802.66",1899802.66,Bank Transfer
05 Jul,"05 Jul Freelance Payment 19,088.54 1,918,891.20",1918891.2,Others
06 Jul,"06 Jul Bill Payment - Water 17,507.02 1,901,384.18",1901384.18,Utilities
06 Jul,"06 Jul ATM Withdrawal 2,622.90 1,898,761.28",1898761.28,Others
06 Jul,"06 Jul UPI Transfer Received 35,163.34 1,933,924.62",1933924.62,Bank Transfer
07 Jul,"07 Jul Insurance Claim 32,657.94 1,966,582.56",1966582.56,Others
07 Jul,"07 Jul Amazon Purchase 2,790.84 1,963,791.72",1963791.72,Shopping
07 Jul,"07 Jul Netflix Subscription 4,712.83 1,959,078.89",1959078.89,Others
08 Jul,"08 Jul Bill Payment - Electricity 10,217.48 1,948,861.41",1948861.41,Utilities
09 Jul,"09 Jul Bill Payment - Electricity 1,763.00 1,947,098.41",1947098.41,Utilities
10 Jul,"10 Jul NEFT Inward 27,670.92 1,974,769.33",1974769.33,Bank Transfer
10 Jul,"10 Jul Interest Credit 24,780.16 1,999,549.49",1999549.49,Others
11 Jul,"11 Jul Bill Payment - Electricity 4,488.11 1,995,061.38",1995061.38,Utilities
12 Jul,"12 Jul Bill Payment - Electricity 1,521.56 1,993,539.82",1993539.82,Utilities
13 Jul,"13 Jul Mutual Fund SIP 13,658.64 1,979,881.18",1979881.18,Others
13 Jul,"13 Jul Salary Credit 38,391.23 2,018,272.41",2018272.41,Income
17 Jul,"17 Jul Bonus Credit 37,238.80 2,055,511.21",2055511.21,Others
17 Jul,"17 Jul Grocery - BigBasket 1,744.39 2,053,766.82",2053766.82,Others
18 Jul,"18 Jul Mobile Recharge 2,055.39 2,051,711.43",2051711.43,Utilities
18 Jul,"18 Jul Rental Income 31,726.88 2,083,438.31",2083438.31,Rent
18 Jul,"18 Jul Refund - Flipkart 7,913.87 2,091,352.18",2091352.18,Shopping
19 Jul,"19 Jul Freelance Payment 6,200.30 2,097,552.48",2097552.48,Others
19 Jul,"19 Jul EMI Debit 15,075.33 2,082,477.15",2082477.15,Others
20 Jul,"20 Jul Rental Income 40,731.91 2,123,209.06",2123209.06,Rent
21 Jul,"21 Jul UPI Transfer Received 26,350.00 2,149,559.06",2149559.06,Bank Transfer
21 Jul,"21 Jul Refund - Amazon 41,305.67 2,190,864.73",2190864.73,Shopping
21 Jul,"21 Jul Mutual Fund SIP 15,787.37 2,175,077.36",2175077.36,Others
22 Jul,"22 Jul Flight Ticket - IndiGo 10,192.16 2,164,885.20",2164885.2,Others
22 Jul,"22 Jul Salary Credit 30,160.98 2,195,046.18",2195046.18,Income
22 Jul,"22 Jul Fuel - HPCL 17,727.28 2,177,318.90",2177318.9,Travel
23 Jul,"23 Jul EMI Debit 1,864.90 2,175,454.00",2175454.0,Others
23 Jul,"23 Jul Bill Payment - Water 8,163.15 2,167,290.85",2167290.85,Utilities
24 Jul,"24 Jul Freelance Payment 39,986.16 2,207,277.01",2207277.01,Others
25 Jul,"25 Jul ATM Withdrawal 7,454.37 2,199,822.64",2199822.64,Others
26 Jul,"26 Jul Rental Income 8,926.67 2,208,749.31",2208749.31,Rent
26 Jul,"26 Jul Insurance Claim 2,572.72 2,211,322.03",2211322.03,Others
28 Jul,"28 Jul Dividend Credit 10,791.87 2,222,113.90",2222113.9,Others
28 Jul,"28 Jul Flight Ticket - IndiGo 12,322.76 2,209,791.14",2209791.14,Others
28 Jul,"28 Jul UPI Payment 15,751.81 2,194,039.33",2194039.33,Bank Transfer
29 Jul,"29 Jul Salary Credit 3,505.23 2,197,544.56",2197544.56,Income
31 Jul,"31 Jul Freelance Payment 26,664.50 2,224,209.06",2224209.06,Others
31 Jul,"31 Jul EMI Debit 14,796.27 2,209,412.79",2209412.79,Others
31 Jul,"31 Jul Amazon Purchase 5,247.37 2,204,165.42",2204165.42,Shopping
01 Aug,"01 Aug Grocery - BigBasket 18,624.91 2,185,540.51",2185540.51,Others
01 Aug,"01 Aug Freelance Payment 38,310.71 2,223,851.22",2223851.22,Others
01 Aug,"01 Aug Swiggy Order 8,054.20 2,215,797.02",2215797.02,Food
02 Aug,"02 Aug Fuel - HPCL 2,915.87 2,212,881.15",2212881.15,Travel
03 Aug,"03 Aug Insurance Premium 10,482.30 2,202,398.85",2202398.85,Others
03 Aug,"03 Aug Interest Credit 8,350.35 2,210,749.20",2210749.2,Others
04 Aug,"04 Aug Medical - Pharmacy 2,697.16 2,208,052.04",2208052.04,Others
04 Aug,"04 Aug Refund - Amazon 15,824.46 2,223,876.50",2223876.5,Shopping
04 Aug,"04 Aug Dividend Credit 43,735.49 2,267,611.99",2267611.99,Others
05 Aug,"05 Aug Amazon Purchase 12,669.48 2,254,942.51",2254942.51,Shopping
05 Aug,"05 Aug Refund - Amazon 37,639.50 2,292,582.01",2292582.01,Shopping
07 Aug,"07 Aug Bonus Credit 11,839.41 2,304,421.42",2304421.42,Others
08 Aug,"08 Aug Refund - Amazon 34,317.58 2,338,739.00",2338739.0,Shopping
08 Aug,"08 Aug Insurance Claim 43,340.67 2,382,079.67",2382079.67,Others
11 Aug,"11 Aug Refund - Amazon 20,853.99 2,402,933.66",2402933.66,Shopping
11 Aug,"11 Aug UPI Payment 10,308.30 2,392,625.36",2392625.36,Bank Transfer
11 Aug,"11 Aug Mobile Recharge 14,642.52 2,377,982.84",2377982.84,Utilities
12 Aug,"12 Aug Amazon Purchase 10,069.30 2,367,913.54",2367913.54,Shopping
13 Aug,"13 Aug FD Maturity 48,637.57 2,416,551.11",2416551.11,Others
13 Aug,"13 Aug Mutual Fund SIP 13,974.09 2,402,577.02",2402577.02,Others
15 Aug,"15 Aug Insurance Premium 1,244.72 2,401,332.30",2401332.3,Others
15 Aug,"15 Aug Interest Credit 45,866.05 2,447,198.35",2447198.35,Others
16 Aug,"16 Aug Rental Income 26,547.52 2,473,745.87",2473745.87,Rent
16 Aug,"16 Aug Dividend Credit 35,589.46 2,509,335.33",2509335.33,Others
17 Aug,"17 Aug Bill Payment - Electricity 16,138.37 2,493,196.96",2493196.96,Utilities
19 Aug,"19 Aug Bill Payment - Water 14,452.91 2,478,744.05",2478744.05,Utilities
19 Aug,"19 Aug Grocery - BigBasket 12,168.48 2,466,575.57",2466575.57,Others
19 Aug,"19 Aug Bonus Credit 5,025.23 2,471,600.80",2471600.8,Others
20 Aug,"20 Aug Mutual Fund SIP 2,780.67 2,468,820.13",2468820.13,Others
21 Aug,"21 Aug Salary Credit 20,629.02 2,489,449.15",2489449.15,Income
24 Aug,"24 Aug Fuel - HPCL 6,616.08 2,482,833.07",2482833.07,Travel
24 Aug,"24 Aug Dividend Credit 48,056.63 2,530,889.70",2530889.7,Others
24 Aug,"24 Aug UPI Payment 14,433.69 2,516,456.01",2516456.01,Bank Transfer
26 Aug,"26 Aug Salary Credit 1,815.18 2,518,271.19",2518271.19,Income
28 Aug,"28 Aug Netflix Subscription 2,329.09 2,515,942.10",2515942.1,Others
28 Aug,"28 Aug UPI Payment 10,525.01 2,505,417.09",2505417.09,Bank Transfer
29 Aug,"29 Aug Hotel Booking 6,743.65 2,498,673.44",2498673.44,Others
30 Aug,"30 Aug Bill Payment - Water 16,478.51 2,482,194.93",2482194.93,Utilities
30 Aug,"30 Aug UPI Payment 18,167.94 2,464,026.99",2464026.99,Bank Transfer
31 Aug,"31 Aug Refund - Flipkart 30,682.26 2,494,709.25",2494709.25,Shopping
01 Sep,"01 Sep Bill Payment - Electricity 1,617.41 2,493,091.84",2493091.84,Utilities
03 Sep,"03 Sep Interest Credit 14,966.05 2,508,057.89",2508057.89,Others
03 Sep,"03 Sep Salary Credit 24,128.67 2,532,186.56",2532186.56,Income
04 Sep,"04 Sep Amazon Purchase 8,204.85 2,523,981.71",2523981.71,Shopping
05 Sep,"05 Sep Netflix Subscription 12,170.71 2,511,811.00",2511811.0,Others
07 Sep,"07 Sep Medical - Pharmacy 6,770.31 2,505,040.69",2505040.69,Others
10 Sep,"10 Sep Insurance Premium 13,938.80 2,491,101.89",2491101.89,Others
10 Sep,"10 Sep Insurance Claim 27,037.20 2,518,139.09",2518139.09,Others
12 Sep,"12 Sep Mutual Fund SIP 15,582.57 2,502,556.52",2502556.52,Others
12 Sep,"12 Sep Dividend Credit 46,811.82 2,549,368.34",2549368.34,Others
13 Sep,"13 Sep Bill Payment - Water 14,900.77 2,534,467.57",2534467.57,Utilities
13 Sep,"13 Sep Salary Credit 6,874.93 2,541,342.50",2541342.5,Income
13 Sep,"13 Sep ATM Withdrawal 18,882.57 2,522,459.93",2522459.93,Others
14 Sep,"14 Sep Rental Income 20,192.60 2,542,652.53",2542652.53,Rent
17 Sep,"17 Sep Refund - Flipkart 23,053.62 2,565,706.15",2565706.15,Shopping
17 Sep,"17 Sep Amazon Purchase 4,335.78 2,561,370.37",2561370.37,Shopping
17 Sep,"17 Sep Mutual Fund SIP 5,155.14 2,556,215.23",2556215.23,Others
18 Sep,"18 Sep Freelance Payment 21,774.78 2,577,990.01",2577990.01,Others
18 Sep,"18 Sep FD Maturity 28,816.05 2,606,806.06",2606806.06,Others
19 Sep,"19 Sep NEFT Inward 28,287.86 2,635,093.92",2635093.92,Bank Transfer
19 Sep,"19 Sep EMI Debit 19,680.01 2,615,413.91",2615413.91,Others
19 Sep,"19 Sep UPI Transfer Received 48,174.89 2,663,588.80",2663588.8,Bank Transfer
20 Sep,"20 Sep Freelance Payment 27,949.27 2,691,538.07",2691538.07,Others
21 Sep,"21 Sep Swiggy Order 6,917.92 2,684,620.15",2684620.15,Food
21 Sep,"21 Sep Netflix Subscription 13,375.43 2,671,244.72",2671244.72,Others
21 Sep,"21 Sep Bonus Credit 10,992.06 2,682,236.78",2682236.78,Others
22 Sep,"22 Sep Bill Payment - Water 2,570.33 2,679,666.45",2679666.45,Utilities
22 Sep,"22 Sep UPI Payment 9,085.52 2,670,580.93",2670580.93,Bank Transfer
24 Sep,"24 Sep Bill Payment - Electricity 11,658.79 2,658,922.14",2658922.14,Utilities
24 Sep,"24 Sep Amazon Purchase 5,786.71 2,653,135.43",2653135.43,Shopping
26 Sep,"26 Sep Amazon Purchase 11,699.69 2,641,435.74",2641435.74,Shopping
26 Sep,"26 Sep Rental Income 30,093.59 2,671,529.33",2671529.33,Rent
26 Sep,"26 Sep Fuel - HPCL 12,556.65 2,658,972.68",2658972.68,Travel
27 Sep,"27 Sep Flight Ticket - IndiGo 12,870.81 2,646,101.87",2646101.87,Others
27 Sep,"27 Sep NEFT Inward 26,349.51 2,672,451.38",2672451.38,Bank Transfer
28 Sep,"28 Sep Swiggy Order 12,771.86 2,659,679.52",2659679.52,Food
28 Sep,"28 Sep Refund - Amazon 28,484.32 2,688,163.84",2688163.84,Shopping
30 Sep,"30 Sep Grocery - BigBasket 15,866.74 2,672,297.10",2672297.1,Others
30 Sep,"30 Sep Bill Payment - Water 17,821.74 2,654,475.36",2654475.36,Utilities
01 Oct,"01 Oct Swiggy Order 16,160.84 2,638,314.52",2638314.52,Food
02 Oct,"02 Oct Medical - Pharmacy 15,547.75 2,622,766.77",2622766.77,Others
02 Oct,"02 Oct Salary Credit 28,212.51 2,650,979.28",2650979.28,Income
03 Oct,"03 Oct Hotel Booking 556.92 2,650,422.36",2650422.36,Others
03 Oct,"03 Oct FD Maturity 32,191.85 2,682,614.21",2682614.21,Others
03 Oct,"03 Oct UPI Payment 19,449.62 2,663,164.59",2663164.59,Bank Transfer
04 Oct,"04 Oct Freelance Payment 11,187.39 2,674,351.98",2674351.98,Others
04 Oct,"04 Oct Swiggy Order 14,515.59 2,659,836.39",2659836.39,Food
04 Oct,"04 Oct Refund - Flipkart 33,295.89 2,693,132.28",2693132.28,Shopping
05 Oct,"05 Oct UPI Payment 10,452.15 2,682,680.13",2682680.13,Bank Transfer
06 Oct,"06 Oct Medical - Pharmacy 17,955.29 2,664,724.84",2664724.84,Others
06 Oct,"06 Oct Netflix Subscription 2,444.33 2,662,280.51",2662280.51,Others
07 Oct,"07 Oct NEFT Inward 27,687.98 2,689,968.49",2689968.49,Bank Transfer
07 Oct,"07 Oct Freelance Payment 38,273.71 2,728,242.20",2728242.2,Others
07 Oct,"07 Oct EMI Debit 8,739.50 2,719,502.70",2719502.7,Others
09 Oct,"09 Oct Bill Payment - Electricity 6,959.88 2,712,542.82",2712542.82,Utilities
09 Oct,"09 Oct Hotel Booking 4,410.98 2,708,131.84",2708131.84,Others
09 Oct,"09 Oct Netflix Subscription 2,055.23 2,706,076.61",2706076.61,Others
10 Oct,"10 Oct Mutual Fund SIP 6,342.52 2,699,734.09",2699734.09,Others
12 Oct,"12 Oct Fuel - HPCL 15,566.65 2,684,167.44",2684167.44,Travel
12 Oct,"12 Oct Insurance Premium 4,887.96 2,679,279.48",2679279.48,Others
13 Oct,"13 Oct UPI Payment 907.19 2,678,372.29",2678372.29,Bank Transfer
13 Oct,"13 Oct Swiggy Order 3,368.48 2,675,003.81",2675003.81,Food
16 Oct,"16 Oct Fuel - HPCL 18,156.05 2,656,847.76",2656847.76,Travel
16 Oct,"16 Oct Dividend Credit 3,229.97 2,660,077.73",2660077.73,Others
16 Oct,"16 Oct Grocery - BigBasket 1,593.63 2,658,484.10",2658484.1,Others
17 Oct,"17 Oct UPI Payment 16,484.16 2,641,999.94",2641999.94,Bank Transfer
17 Oct,"17 Oct Freelance Payment 3,778.01 2,645,777.95",2645777.95,Others
19 Oct,"19 Oct UPI Transfer Received 31,678.17 2,677,456.12",2677456.12,Bank Transfer
19 Oct,"19 Oct Flight Ticket - IndiGo 6,495.72 2,670,960.40",2670960.4,Others
20 Oct,"20 Oct Grocery - BigBasket 17,271.68 2,653,688.72",2653688.72,Others
20 Oct,"20 Oct Medical - Pharmacy 18,993.53 2,634,695.19",2634695.19,Others
20 Oct,"20 Oct Mobile Recharge 1,100.95 2,633,594.24",2633594.24,Utilities
21 Oct,"21 Oct Hotel Booking 5,475.42 2,628,118.82",2628118.82,Others
22 Oct,"22 Oct NEFT Inward 14,434.30 2,642,553.12",2642553.12,Bank Transfer
22 Oct,"22 Oct NEFT Inward 47,175.08 2,689,728.20",2689728.2,Bank Transfer
22 Oct,"22 Oct Medical - Pharmacy 15,283.03 2,674,445.17",2674445.17,Others
23 Oct,"23 Oct Bill Payment - Electricity 6,956.55 2,667,488.62",2667488.62,Utilities
24 Oct,"24 Oct Fuel - HPCL 16,537.52 2,650,951.10",2650951.1,Travel
24 Oct,"24 Oct Bill Payment - Electricity 19,641.45 2,631,309.65",2631309.65,Utilities
24 Oct,"24 Oct Fuel - HPCL 5,344.56 2,625,965.09",2625965.09,Travel
25 Oct,"25 Oct Interest Credit 10,165.79 2,636,130.88",2636130.88,Others
25 Oct,"25 Oct Netflix Subscription 1,874.82 2,634,256.06",2634256.06,Others
26 Oct,"26 Oct Interest Credit 46,565.25 2,680,821.31",2680821.31,Others
26 Oct,"26 Oct UPI Transfer Received 48,070.20 2,728,891.51",2728891.51,Bank Transfer
27 Oct,"27 Oct UPI Payment 1,675.10 2,727,216.41",2727216.41,Bank Transfer
27 Oct,"27 Oct NEFT Inward 49,807.49 2,777,023.90",2777023.9,Bank Transfer
27 Oct,"27 Oct Amazon Purchase 1,664.03 2,775,359.87",2775359.87,Shopping
29 Oct,"29 Oct Interest Credit 37,641.72 2,813,001.59",2813001.59,Others
29 Oct,"29 Oct Mutual Fund SIP 19,592.93 2,793,408.66",2793408.66,Others
29 Oct,"29 Oct Rental Income 25,039.53 2,818,448.19",2818448.19,Rent
30 Oct,"30 Oct FD Maturity 9,924.17 2,828,372.36",2828372.36,Others
30 Oct,"30 Oct Refund - Amazon 33,559.87 2,861,932.23",2861932.23,Shopping
31 Oct,"31 Oct NEFT Inward 2,934.62 2,864,866.85",2864866.85,Bank Transfer
31 Oct,"31 Oct Netflix Subscription 6,528.15 2,858,338.70",2858338.7,Others
01 Nov,"01 Nov UPI Transfer Received 2,628.56 2,860,967.26",2860967.26,Bank Transfer
01 Nov,"01 Nov Salary Credit 14,595.65 2,875,562.91",2875562.91,Income
01 Nov,"01 Nov Refund - Amazon 10,642.07 2,886,204.98",2886204.98,Shopping
03 Nov,"03 Nov Netflix Subscription 2,254.82 2,883,950.16",2883950.16,Others
03 Nov,"03 Nov Hotel Booking 14,844.24 2,869,105.92",2869105.92,Others
03 Nov,"03 Nov Amazon Purchase 3,489.33 2,865,616.59",2865616.59,Shopping
06 Nov,"06 Nov Amazon Purchase 17,575.81 2,848,040.78",2848040.78,Shopping
08 Nov,"08 Nov Dividend Credit 46,563.98 2,894,604.76",2894604.76,Others
09 Nov,"09 Nov Hotel Booking 6,868.74 2,887,736.02",2887736.02,Others
10 Nov,"10 Nov Interest Credit 21,588.01 2,909,324.03",2909324.03,Others
10 Nov,"10 Nov Bill Payment - Water 10,833.26 2,898,490.77",2898490.77,Utilities
10 Nov,"10 Nov Mutual Fund SIP 3,626.61 2,894,864.16",2894864.16,Others
11 Nov,"11 Nov FD Maturity 11,830.96 2,906,695.12",2906695.12,Others
11 Nov,"11 Nov Medical - Pharmacy 556.08 2,906,139.04",2906139.04,Others
11 Nov,"11 Nov UPI Transfer Received 46,391.72 2,952,530.76",2952530.76,Bank Transfer
12 Nov,"12 Nov Hotel Booking 1,315.67 2,951,215.09",2951215.09,Others
12 Nov,"12 Nov NEFT Inward 20,551.69 2,971,766.78",2971766.78,Bank Transfer
12 Nov,"12 Nov UPI Payment 407.69 2,971,359.09",2971359.09,Bank Transfer
13 Nov,"13 Nov Amazon Purchase 1,778.61 2,969,580.48",2969580.48,Shopping
13 Nov,"13 Nov Refund - Flipkart 31,644.16 3,001,224.64",3001224.64,Shopping
13 Nov,"13 Nov Fuel - HPCL 1,815.16 2,999,409.48",2999409.48,Travel
14 Nov,"14 Nov FD Maturity 17,085.03 3,016,494.51",3016494.51,Others
14 Nov,"14 Nov Fuel - HPCL 13,766.28 3,002,728.23",3002728.23,Travel
15 Nov,"15 Nov Amazon Purchase 10,504.47 2,992,223.76",2992223.76,Shopping
17 Nov,"17 Nov FD Maturity 20,197.56 3,012,421.32",3012421.32,Others
19 Nov,"19 Nov Freelance Payment 31,360.13 3,043,781.45",3043781.45,Others
19 Nov,"19 Nov Salary Credit 27,562.94 3,071,344.39",3071344.39,Income
20 Nov,"20 Nov Refund - Flipkart 45,970.01 3,117,314.40",3117314.4,Shopping
22 Nov,"22 Nov EMI Debit 10,891.42 3,106,422.98",3106422.98,Others
23 Nov,"23 Nov Mutual Fund SIP 6,032.93 3,100,390.05",3100390.05,Others
23 Nov,"23 Nov Bill Payment - Electricity 12,233.63 3,088,156.42",3088156.42,Utilities
25 Nov,"25 Nov Freelance Payment 31,490.26 3,119,646.68",3119646.68,Others
25 Nov,"25 Nov ATM Withdrawal 16,224.16 3,103,422.52",3103422.52,Others
26 Nov,"26 Nov Interest Credit 46,220.64 3,149,643.16",3149643.16,Others
26 Nov,"26 Nov Fuel - HPCL 8,092.90 3,141,550.26",3141550.26,Travel
26 Nov,"26 Nov Amazon Purchase 10,831.48 3,130,718.78",3130718.78,Shopping
28 Nov,"28 Nov Rental Income 39,122.27 3,169,841.05",3169841.05,Rent
28 Nov,"28 Nov FD Maturity 31,577.04 3,201,418.09",3201418.09,Others
28 Nov,"28 Nov Fuel - HPCL 10,690.73 3,190,727.36",3190727.36,Travel
29 Nov,"29 Nov Medical - Pharmacy 11,534.40 3,179,192.96",3179192.96,Others
30 Nov,"30 Nov Netflix Subscription 3,162.91 3,176,030.05",3176030.05,Others
30 Nov,"30 Nov FD Maturity 29,051.81 3,205,081.86",3205081.86,Others
30 Nov,"30 Nov Mutual Fund SIP 859.78 3,204,222.08",3204222.08,Others
02 Dec,"02 Dec Swiggy Order 13,678.54 3,190,543.54",3190543.54,Food
02 Dec,"02 Dec Salary Credit 34,927.33 3,225,470.87",3225470.87,Income
02 Dec,"02 Dec Fuel - HPCL 17,368.97 3,208,101.90",3208101.9,Travel
